,股票名称,股票代码,距离前高比例,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,若羽臣,003010.SZ,1.1,1.96,33.29,105.76,171393.56,互联网,0.0565,6878378.02,94.53,-59.0789,8.905521190743,0.63
1,牧原股份,002714.SZ,0.95,-4.19,1.37,-45.71,14562546.02,农业综合,-0.22,-1198054174.39,76.87,-110.1929,12.661896547986,-1.67
2,启明信息,002232.SZ,1.02,10.01,7.0,142.58,651226.24,软件服务,0.0279,11418884.88,35.94,102.1691,3.411692041547,0.82
3,力鼎光电,605118.SH,0.99,9.98,28.93,62.52,76792.16,元器件,0.0738,29984146.42,-31.42,94.0092,3.387763453265,2.2
4,金百泽,301041.SZ,0.94,-14.45,50.72,261.25,239619.0,元器件,,,,,,
5,双象股份,002395.SZ,0.96,10.0,13.32,135.37,356986.18,塑料,0.0246,6592846.24,210.78,110.0261,3.228622811837,0.76
6,机器人,300024.SZ,1.14,3.02,9.79,-136.58,2366233.45,专用机械,-0.0287,-44491767.96,23.77,-117.7811,2.718428597283,-1.05
7,剑桥科技,603083.SH,1.03,-0.63,25.85,67.03,1861295.23,通信设备,0.27,71472455.19,166.6424214785,-26.7714,7.684474419081,3.63
8,冠昊生物,300238.SZ,0.93,-7.76,31.38,58.75,519662.8,医疗保健,0.08,22115265.7,1.54,129.0028,1.920216797074,4.45
9,冠石科技,605588.SH,0.92,10.01,22.66,45.75,96694.76,半导体,0.23,16720088.73,-24.68,7.4291,13.99483931251,1.65
10,巨人网络,002558.SZ,1.13,3.48,5.44,42.67,4178288.72,互联网,0.13,244773886.04,-9.67,224.8863,5.946143583036,2.06
11,淮河能源,600575.SH,0.96,-2.11,3.36,16.35,1080380.58,铁路,0.04,165179795.36,-22.03,157.7127,2.676812400865,1.6
12,中远海科,002401.SZ,1.02,10.0,11.16,46.87,991546.53,软件服务,0.1455,53460961.13,7.64,164.8489,4.043084316148,3.64
13,佳禾智能,300793.SZ,1.0,0.08,20.84,62.01,777822.32,IT设备,0.1,32171443.19,65.22,71.7223,7.296933266349,1.31
14,景旺电子,603228.SH,1.0,10.0,3.23,25.9,2177081.99,元器件,0.25,211499259.97,20.42,-33.6894,9.413638276212,2.59
15,华建集团,600629.SH,1.1,10.01,15.41,24.82,851137.72,建筑工程,0.09,88105960.2,0.86,-33.4221,4.756731047134,1.93
16,金桥信息,603918.SH,0.98,-0.89,29.83,565.52,1016327.52,软件服务,0.0124,4519566.75,166.0146233486,-59.9075,2.953587683439,0.42
17,贵州茅台,600519.SH,0.91,-2.36,0.29,24.6,204622059.64,白酒,16.55,20794882754.55,20.59,13.5301,173.759014147788,10.0
18,上海电气,601727.SH,0.97,7.57,1.67,51.28,6112522.99,电气设备,0.0235,366853000.0,2802.32,117.0609,3.541033526149,0.67
19,恒瑞医药,600276.SH,1.07,-5.67,1.35,58.62,29034517.38,化学制药,0.19,1239107494.38,0.17,69.0658,6.09684844658,3.23
20,中体产业,600158.SH,1.05,10.01,13.06,-53.47,817395.01,文教休闲,-0.0529,-50787072.63,3.3327952504,-193.6609,2.583047404981,-2.0284
21,高争民爆,002827.SZ,1.05,10.01,2.21,180.46,336720.0,化工原料,0.0169,4664825.06,205.54,-64.8423,2.81725713413,0.6
22,欧比特,300053.SZ,0.96,17.1,17.62,94.1,931700.82,半导体,0.0391,27251795.98,240.82,108.805,3.615058942371,1.09
23,钱江水利,600283.SH,0.95,-7.34,19.48,24.93,597268.82,水务,0.17,59896868.83,84.78,33.2781,6.404045332012,2.69
24,世茂能源,605028.SH,0.91,-10.0,43.0,21.21,86040.0,供气供热,0.25,40562664.09,-9.87,-34.1199,7.499658400625,3.44
25,鸿博股份,002229.SZ,1.13,10.01,25.37,-235.64,1702403.17,广告包装,-0.037,-18251132.61,-42.7,36.2994,3.176465813032,-1.14
26,瑞斯康达,603803.SH,0.91,10.0,1.72,-36.84,393686.95,通信设备,-0.06,-27547351.33,-198.37,-180.5555,4.441651100916,-1.42
27,电广传媒,000917.SZ,1.01,10.09,8.66,82.89,865968.38,影视音像,0.0184,26123125.04,-14.44,-79.0393,7.211261588596,0.26
28,胜宏科技,300476.SZ,0.98,4.09,20.57,48.32,2397702.9,元器件,0.14,124976888.18,-38.16,-17.1617,8.164918587922,1.79
29,昆仑万维,300418.SZ,0.94,1.13,9.66,80.87,6236049.93,互联网,0.18,212057775.57,-43.33,-42.0285,10.767388675334,1.66
30,新智认知,603869.SH,0.9,9.98,1.27,219.82,678048.68,软件服务,0.0153,7711517.45,324.58,150.8101,7.892313031625,0.1939
31,杭电股份,603618.SH,0.91,-3.45,12.72,51.94,464390.41,电气设备,0.03,22354366.97,-12.67,-40.4202,3.847658561252,0.8
32,天娱数科,002354.SZ,0.91,1.15,13.86,284.29,1136923.96,互联网,0.0062,10228658.75,11.93,103.9993,1.463189519671,0.43
33,名臣健康,002919.SZ,0.91,10.01,2.88,63.89,862665.64,日用化工,0.2,34104153.62,1981.81,-21.9766,4.522789868881,4.51
34,柯力传感,603662.SH,1.29,-4.19,15.46,34.11,757678.98,电器仪表,0.2,55966226.13,60.04,-12.2958,8.306125363612,2.41
35,金自天正,600560.SH,0.93,9.98,1.42,55.12,352465.31,电气设备,0.07,15986375.38,18.03,166.8177,3.952172170064,1.83
36,九华旅游,603199.SH,1.0,10.01,7.2,14.55,360042.04,旅游景点,0.5589,61854357.96,1214.6926308905,521.114,11.795754730575,4.85
37,今创集团,603680.SH,0.94,9.97,0.88,76.45,829958.17,运输设备,0.03,27140816.72,32.39,-51.8195,6.200870678946,0.56
38,汤姆猫,300459.SZ,0.97,-2.27,15.03,59.16,2064538.85,互联网,0.03,102211043.28,-44.01,158.1822,1.137390037468,2.59
39,鸥玛软件,301185.SZ,0.93,3.92,29.9,78.39,257354.65,软件服务,,,,,,
40,晋西车轴,600495.SH,0.98,-1.41,8.11,-73.69,506231.98,运输设备,-0.01,-17174748.84,48.8307780527,-288.1183,2.670415544601,-0.53
