,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
6,17.0,601136.SH,首创证券,24.3,10.0,29.68,66.42,45.72,3, 09:40:35, 11:17:20,1.81,7,证券,10天5板,0.06,证券+互联网金融+次新股
0,26.0,603106.SH,恒银科技,7.1,10.08,3.13,36.96,8.5,2, 09:25:02, 09:31:53,0.7,1,计算机设,2天2板,0.22,金融科技+信创+数字经济+人工智能
27,14.0,301289.SZ,国缆检测,73.73,20.0,9.28,18.69,55.02,2, 14:37:42, 14:50:06,0.05,3,专业服务,5天4板,0.01,超导电缆检测+光纤光缆检测+上海国资
26,17.0,600468.SH,百利电气,7.66,10.06,16.55,83.32,20.73,2, 14:36:04, 14:36:04,0.7,0,电网设备,5天4板,0.04,超导+电网设备+芯片+军工
4,7.0,000936.SZ,华西股份,11.96,10.03,29.21,105.94,27.97,2, 09:35:36, 14:41:03,0.35,23,化纤行业,2天2板,0.01,参股券商+光模块+AI芯片+涤纶化纤
19,25.0,000719.SZ,中原传媒,12.3,10.02,11.36,82.06,14.28,2, 10:59:54, 10:59:54,0.91,0,文化传媒,6天3板,0.08,出版+数据确权+数字藏品+职业教育
1,28.0,002084.SZ,海鸥住工,5.13,10.09,1.76,33.21,5.36,2, 09:30:15, 09:30:15,2.75,0,装修装饰,2天2板,1.57,整装卫浴+空气能热泵+外销
15,25.0,300380.SZ,安硕信息,28.46,19.98,8.47,35.46,25.49,2, 10:32:03, 10:32:03,0.4,0,软件开发,2天2板,0.05,互联网金融+银行信贷资产管理+国产软件+数据要素
17,21.0,603336.SH,宏辉果蔬,5.78,10.1,1.97,32.97,6.09,1, 10:54:18, 11:10:18,0.18,1,农牧饲渔,1天1板,0.09,果蔬产品+农业种植+预制菜
25,14.0,600361.SH,创新新材,6.25,10.04,3.41,29.25,12.51,1, 14:24:25, 14:26:25,0.39,2,有色金属,1天1板,0.11,超导+铝合金+金属回收
24,18.0,002670.SZ,国盛金控,11.31,10.02,16.48,183.6,9.45,1, 13:54:54, 13:54:54,1.96,0,证券,1天1板,0.12,证券+区块链
23,18.0,300528.SZ,幸福蓝海,13.15,19.98,6.31,49.0,14.03,1, 13:35:24, 13:35:24,0.31,0,文化传媒,1天1板,0.05,影视传媒+IMAX+国企改革
22,14.0,601900.SH,南方传媒,20.17,9.98,9.24,180.7,5.26,1, 13:34:42, 14:13:54,0.41,2,文化传媒,1天1板,0.04,出版+数字教材+广东国资
21,18.0,301428.SZ,世纪恒通,46.8,20.0,4.74,10.95,47.43,1, 13:11:24, 13:11:24,0.76,0,互联网服,1天1板,0.16,数据要素+网络安全+车联网+次新股
20,22.0,002905.SZ,金逸影视,11.4,10.04,2.5,39.84,6.47,1, 11:11:03, 11:11:03,1.26,0,文化传媒,1天1板,0.5,影视传媒+虚拟现实+职业教育
18,24.0,601595.SH,上海电影,27.4,10.0,6.41,122.81,5.41,1, 10:59:08, 10:59:08,0.6,0,文化传媒,1天1板,0.09,半年报增长+影视娱乐+IP+国企改革
14,24.0,301218.SZ,华是科技,38.32,20.01,6.83,21.47,34.42,1, 10:14:12, 10:14:12,1.1,0,软件开发,1天1板,0.16,网络安全+脉冲光纤激光器+数据中心+船舶自动驾驶
16,24.0,600610.SH,中毅达,12.06,10.04,2.36,54.11,4.49,1, 10:40:26, 10:40:26,0.4,0,化学原料,1天1板,0.17,磷化工+重组+国企改革
13,24.0,600531.SH,豫光金铅,8.01,10.03,8.47,87.33,9.99,1, 10:13:17, 10:13:17,0.58,0,有色金属,1天1板,0.07,有色金属+电解铅+黄金+半年报增长
