,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
0,25.0,600936.SH,广西广电,5.1,9.91,2.82,85.22,3.32,3, 09:25:00, 10:01:57,0.56,1,文化传媒,3天3板,0.2,实控人变更+电视广播+数字乡村+国企改革
58,18.0,002719.SZ,麦趣尔,13.46,9.97,6.77,21.79,32.81,3, 14:22:45, 14:22:45,0.27,0,食品饮料,3天3板,0.04,乳业+新疆振兴
1,29.0,000638.SZ,万方发展,8.38,9.97,0.7,25.88,2.7,3, 09:25:00, 09:25:00,1.35,0,软件开发,3天3板,1.94,粮食+军工+生物疫苗+摘帽
19,28.0,000656.SZ,金科股份,1.85,10.12,12.14,98.25,12.67,3, 09:41:24, 09:41:24,2.76,0,房地产开,3天3板,0.23,房地产+物业管理+三胎+预重整
4,28.0,603682.SH,锦和商管,6.86,9.94,0.56,32.41,1.74,2, 09:25:02, 09:25:02,0.84,0,房地产服,2天2板,1.5,产业园区服务+城市更新+新型城镇化
5,16.0,002316.SZ,亚联发展,7.03,10.02,10.7,22.15,49.83,2, 09:30:45, 14:04:09,0.64,1,互联网服,8天5板,0.06,网络安全+智慧专网+变电站智能运检系统+数据中心
6,26.0,603828.SH,柯利达,3.77,9.91,0.95,22.47,4.32,2, 09:31:27, 09:32:15,0.4,1,装修装饰,2天2板,0.43,建筑装饰+PPP
23,22.0,002229.SZ,鸿博股份,33.75,10.01,25.58,166.44,15.86,2, 09:47:24, 10:09:09,1.98,3,造纸印刷,2天2板,0.08,算力租赁+英伟达合作+AIGC+ChatGPT
14,27.0,300844.SZ,山水比德,43.21,19.99,2.01,7.24,29.66,2, 09:36:27, 09:36:27,0.71,0,工程咨询,2天2板,0.35,园林景观+文旅IP+AIGC
42,22.0,603348.SH,文灿股份,55.66,10.0,6.06,145.38,4.29,1, 11:11:27, 11:11:27,0.56,0,汽车零部,1天1板,0.09,一体化压铸+特斯拉+赛力斯+项目定点
44,22.0,000750.SZ,国海证券,3.81,10.12,10.2,207.44,5.02,1, 11:15:03, 11:15:03,1.07,0,证券,1天1板,0.1,证券+国企改革+半年报预增
43,22.0,600753.SH,庚星股份,10.12,10.0,0.88,21.76,4.16,1, 11:14:10, 11:14:10,0.2,0,贸易行业,1天1板,0.23,煤炭+换电+MEMS产业
38,24.0,600383.SH,金地集团,7.52,9.94,14.48,339.5,4.36,1, 10:51:47, 10:51:47,1.03,0,房地产开,1天1板,0.07,房地产+物业管理
41,22.0,603416.SH,信捷电气,39.85,9.99,1.94,56.01,3.55,1, 11:02:17, 11:02:17,0.11,0,专用设备,1天1板,0.06,工业4.0+机器人驱动系统+机器视觉+PLC产品
