,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
1,28.0,002377.SZ,国创高新,3.37,10.13,2.01,30.87,6.63,3, 09:30:24, 09:30:24,1.81,0,房地产服,3天3板,0.9,房地产服务+沥青+数据中心+腾讯云
10,21.0,601086.SH,国芳集团,6.97,9.94,6.56,46.42,14.81,3, 09:41:47, 11:21:14,0.4,3,商业百货,7天4板,0.06,百货零售+新零售+半年报增长
0,10.0,002671.SZ,龙泉股份,5.56,10.1,7.38,25.52,29.71,2, 09:25:00, 14:49:54,0.06,7,水泥建材,2天2板,0.01,混凝土输水管道+新型城镇化+高端金属压力管件
17,25.0,000572.SZ,海马汽车,5.16,10.02,8.99,84.74,11.05,2, 10:47:09, 10:47:09,0.62,0,汽车整车,2天2板,0.07,汽车整车+无人驾驶+充电桩+小鹏
35,14.0,600446.SH,金证股份,13.97,10.0,10.81,131.43,8.48,1, 13:13:51, 14:28:21,0.59,2,互联网服,1天1板,0.05,金融科技+国产软件+信创
27,13.0,002146.SZ,荣盛发展,2.76,9.96,23.07,107.65,22.16,1, 11:28:12, 14:14:36,0.45,3,房地产服,10天7板,0.02,房地产+新能源汽车+半年报预增
28,22.0,601519.SH,大智慧,7.8,10.01,10.33,156.3,6.82,1, 11:28:37, 11:28:37,0.42,0,软件开发,1天1板,0.04,互联网金融+国产软件+数据中心
29,21.0,600266.SH,城建发展,6.79,10.05,7.4,153.22,5.05,1, 11:29:20, 11:29:59,0.48,1,房地产开,4天2板,0.06,房地产+北京国资
30,11.0,601555.SH,东吴证券,9.13,10.0,28.46,457.18,6.41,1, 11:29:22, 13:54:16,0.56,7,证券,4天2板,0.02,证券+国企改革+半年报预增
31,7.0,601881.SH,中国银河,14.17,10.02,37.29,943.17,4.08,1, 13:03:28, 14:49:22,0.21,9,证券,4天2板,0.01,证券+国企改革
32,16.0,600369.SH,西南证券,4.31,9.95,8.83,272.18,3.34,1, 13:04:41, 13:16:11,0.62,2,证券,1天1板,0.07,证券+期货+半年报预增+国企改革
33,13.0,603383.SH,顶点软件,63.94,9.99,4.18,107.97,3.96,1, 13:05:33, 14:08:21,0.16,3,软件开发,1天1板,0.04,金融科技+半年报预增+信创
34,18.0,000861.SZ,海印股份,2.31,10.0,4.27,54.71,8.12,1, 13:11:42, 13:11:42,0.69,0,综合行业,1天1板,0.16,商业物业运营+金融服务+动力电池回收+免税店
36,18.0,300740.SZ,水羊股份,18.97,19.99,10.28,67.65,15.78,1, 13:15:15, 13:15:15,0.4,0,美容护理,1天1板,0.04,化妆品+医美+毛发医疗+半年报增长
25,22.0,301315.SZ,威士顿,65.8,20.01,6.16,13.73,48.88,1, 11:25:33, 11:25:33,0.7,0,软件开发,1天1板,0.11,互联网金融+工业软件+烟草+次新股
37,16.0,600155.SH,华创云信,7.52,9.94,15.28,170.06,9.3,1, 13:37:40, 13:50:31,0.69,2,证券,1天1板,0.05,证券+期货+半年报预增
38,17.0,601375.SH,中原证券,4.35,10.13,11.62,149.97,7.96,1, 13:39:54, 13:55:06,0.55,1,证券,1天1板,0.05,证券+数据交易中心+国企改革
39,18.0,000700.SZ,模塑科技,6.59,10.02,4.3,60.5,7.34,1, 13:40:27, 13:40:27,0.93,0,汽车零部,1天1板,0.22,汽车零部件+特斯拉+小鹏+民营医院
40,17.0,600381.SH,青海春天,8.9,10.01,2.45,52.25,4.82,1, 13:44:08, 13:50:59,0.32,1,食品饮料,1天1板,0.13,白酒+冬虫夏草
41,18.0,603378.SH,亚士创能,10.85,10.04,2.2,46.5,4.97,1, 13:49:54, 13:49:54,0.77,0,装修建材,1天1板,0.35,建筑材料+建筑节能
42,16.0,600030.SH,中信证券,23.67,9.99,101.76,2690.49,3.88,1, 14:08:13, 14:08:13,10.61,0,证券,1天1板,0.1,证券+期货+国企改革
43,7.0,002488.SZ,金固股份,7.88,10.06,6.33,71.8,9.11,1, 14:08:54, 14:53:48,0.14,9,汽车零部,1天1板,0.02,汽车车轮+比亚迪+阿凡达低碳车轮
44,16.0,001322.SZ,箭牌家居,18.87,10.03,3.2,18.23,18.1,1, 14:26:15, 14:26:15,1.02,0,装修建材,1天1板,0.32,智能家居+新零售+网络直播+次新股
45,14.0,600864.SH,哈投股份,5.85,9.96,5.17,121.71,4.41,1, 14:26:55, 14:28:37,0.19,2,证券,1天1板,0.04,证券+碳交易+热电+国企改革
26,22.0,688318.SH,财富趋势,126.48,20.0,9.48,165.28,6.27,1, 11:25:45, 11:25:45,0.82,0,软件开发,4天2板,0.09,金融科技+国产软件+人工智能
23,22.0,601860.SH,紫金银行,2.9,9.85,5.93,101.73,6.0,1, 11:19:22, 11:19:22,0.79,0,银行,1天1板,0.13,银行+农商行
24,21.0,601136.SH,首创证券,17.72,9.99,17.44,48.43,37.46,1, 11:19:36, 11:20:09,0.76,1,证券,4天2板,0.04,证券+互联网金融+次新股
11,26.0,000715.SZ,中兴商业,8.5,9.96,1.38,35.28,4.0,1, 09:46:00, 09:46:00,0.35,0,商业百货,1天1板,0.25,百货商超+新零售+半年报增长
2,26.0,000010.SZ,美丽生态,2.86,10.0,1.47,14.93,10.0,1, 09:30:54, 09:30:54,0.53,0,工程建设,4天2板,0.36,新型城镇化+园林绿化+基建+煤炭
3,21.0,000609.SZ,中迪投资,5.9,10.07,2.84,17.23,16.93,1, 09:31:15, 11:24:27,0.6,1,房地产开,1天1板,0.21,房地产+互联网金融+高铁+半年报同比预增
4,24.0,600807.SH,济南高新,3.64,9.97,1.67,28.65,5.87,1, 09:31:36, 09:56:30,0.3,2,房地产开,1天1板,0.18,物业管理+黄金+医疗器械+国企改革
5,23.0,600067.SH,冠城大通,3.26,10.14,2.59,45.37,5.82,1, 09:33:42, 10:04:45,0.24,1,房地产开,1天1板,0.09,房地产+氢能源+锂电池+扁线电机
6,26.0,301056.SZ,森赫股份,11.76,20.0,2.7,7.84,35.56,1, 09:37:51, 09:37:51,0.54,0,专用设备,1天1板,0.2,新型城镇化+电梯+人脸识别+一带一路
7,26.0,002762.SZ,金发拉比,10.53,10.03,2.91,21.18,14.0,1, 09:38:09, 09:38:09,0.87,0,纺织服装,1天1板,0.3,三胎+母婴消费品+医美+毛发医疗
8,14.0,603132.SH,金徽股份,13.29,10.02,2.33,21.21,11.12,1, 09:39:29, 14:26:47,0.15,2,有色金属,1天1板,0.07,超导材料+有色金属+智慧矿山
9,26.0,603116.SH,红蜻蜓,6.7,10.02,0.54,38.61,1.42,1, 09:41:02, 09:41:02,0.51,0,纺织服装,1天1板,0.95,服装家纺+C2M+阿里巴巴+半年报增长
12,10.0,600280.SH,中央商场,5.19,9.96,12.46,58.56,21.83,1, 09:49:28, 13:51:01,0.13,8,商业百货,11天7板,0.01,百货商超+预制菜+房地产+半年报预增
22,22.0,000750.SZ,国海证券,4.09,9.95,16.47,222.68,7.68,1, 11:08:45, 11:08:45,0.88,0,证券,4天2板,0.05,证券+国企改革+半年报预增
13,22.0,601099.SH,太平洋,3.64,9.97,40.24,248.11,16.71,1, 09:52:12, 10:23:36,3.91,2,证券,4天3板,0.1,证券+互联网金融
14,23.0,601059.SH,信达证券,16.34,10.03,14.11,52.99,27.39,1, 10:42:11, 10:54:17,6.61,1,证券,1天1板,0.47,证券+期货+次新股+国企改革
15,20.0,601127.SH,赛力斯,42.24,10.0,33.1,636.71,5.38,1, 10:46:13, 11:04:40,1.54,2,汽车整车,1天1板,0.05,无人驾驶+华为汽车+固态电池+新能源汽车
16,22.0,000850.SZ,华茂股份,4.19,9.97,1.57,39.53,4.07,1, 10:46:15, 10:48:54,0.41,2,纺织服装,1天1板,0.26,纺织制造+金属铜+参股券商+国企改革
18,24.0,601162.SH,天风证券,3.58,10.15,24.0,310.23,8.07,1, 10:51:11, 10:51:11,2.45,0,证券,1天1板,0.1,证券+期货+国企改革
19,24.0,300169.SZ,天晟新材,5.63,20.04,2.43,16.99,15.52,1, 10:58:42, 10:58:42,0.46,0,化学制品,1天1板,0.19,证券+OLED+高分子发泡材料
