,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
7,29.0,603682.SH,锦和商管,8.31,10.07,4.5,39.26,11.57,4, 09:33:00, 09:33:00,0.92,0,房地产服,4天4板,0.21,产业园区服务+城市更新+新型城镇化
0,24.0,002575.SZ,群兴玩具,6.34,10.07,1.9,37.32,5.11,2, 09:25:00, 09:52:24,0.25,3,房地产服,2天2板,0.13,拟定增+实控人变更+酒类销售+物业管理
21,25.0,000981.SZ,山子股份,1.84,10.18,5.77,102.67,5.93,2, 10:51:57, 10:51:57,0.42,0,汽车零部,2天2板,0.07,汽车零部件+房地产+减速器+摘帽
18,25.0,002377.SZ,国创高新,3.06,10.07,2.91,28.03,10.96,2, 10:02:36, 10:02:36,2.61,0,房地产服,2天2板,0.9,房地产服务+沥青+数据中心+腾讯云
9,7.0,601086.SH,国芳集团,6.34,10.07,6.18,42.22,15.41,2, 09:35:03, 14:48:18,0.03,10,商业百货,6天3板,0.0,百货零售+新零售+半年报增长
23,9.0,601005.SH,重庆钢铁,1.74,10.13,10.7,145.82,7.64,2, 13:08:12, 14:52:12,0.19,8,钢铁行业,2天2板,0.02,钢铁+中厚钢板+国企改革
4,26.0,000890.SZ,法尔胜,5.03,10.07,2.44,21.1,11.79,2, 09:31:30, 09:35:09,0.37,1,通用设备,2天2板,0.15,光导纤维+环保设备+钢丝绳+半年报预增
6,6.0,300114.SZ,中航电测,57.91,20.0,39.13,342.11,11.54,1, 09:32:48, 14:12:30,1.1,14,航天航空,1天1板,0.03,收购成飞+军工电子+机器人+中字头
16,26.0,605333.SH,沪光股份,15.21,9.98,1.48,14.96,10.12,1, 09:47:34, 09:47:34,0.56,0,汽车零部,1天1板,0.38,汽车线束+特斯拉
22,22.0,600665.SH,天地源,4.91,10.09,2.24,42.43,5.57,1, 11:26:56, 11:26:56,0.15,0,房地产开,1天1板,0.07,房地产+物业管理+水利
2,26.0,000572.SZ,海马汽车,4.69,10.09,1.76,77.02,2.28,1, 09:25:00, 09:25:00,0.53,0,汽车整车,1天1板,0.3,汽车整车+无人驾驶+充电桩+小鹏
20,24.0,301357.SZ,北方长龙,61.39,20.0,3.5,9.9,37.45,1, 10:51:27, 10:51:27,0.96,0,汽车零部,1天1板,0.28,军工+非金属复合材料+无人机+次新股
19,21.0,002355.SZ,兴民智通,5.46,10.08,5.26,33.75,16.05,1, 10:23:30, 10:43:12,0.54,3,汽车零部,1天1板,0.1,无人驾驶+钢制车轮+数据要素+人工智能
3,26.0,300375.SZ,鹏翎股份,4.66,20.1,2.04,23.54,8.66,1, 09:30:03, 09:30:03,0.79,0,汽车零部,1天1板,0.39,汽车橡胶管路+小鹏汽车
17,26.0,301119.SZ,正强股份,30.35,20.01,2.39,8.29,29.92,1, 09:56:51, 09:56:51,0.47,0,汽车零部,1天1板,0.2,汽车零部件+小鹏汽车
15,26.0,002363.SZ,隆基机械,7.94,9.97,1.7,33.04,5.25,1, 09:47:00, 09:47:00,0.46,0,汽车零部,1天1板,0.27,汽车零部件+小鹏汽车+特斯拉
5,26.0,603725.SH,天安新材,9.75,10.05,0.72,20.02,3.6,1, 09:32:15, 09:32:15,0.46,0,化学制品,1天1板,0.65,小鹏汽车+高分子复合饰面材料+装配式建筑+半年报预增
14,4.0,600936.SH,广西广电,5.23,10.11,8.41,87.39,9.83,1, 09:44:58, 15:00:00,0.02,10,文化传媒,5天4板,0.0,实控人变更+电视广播+数字乡村+国企改革
13,17.0,300635.SZ,中达安,16.98,20.0,5.12,19.7,26.89,1, 09:43:54, 11:28:42,0.23,5,工程咨询,1天1板,0.04,新型城镇化+工程监理
1,26.0,002662.SZ,京威股份,3.63,10.0,1.14,54.45,2.09,1, 09:25:00, 09:25:00,0.74,0,汽车零部,1天1板,0.65,汽车零部件+锂电池+小鹏汽车
11,26.0,000926.SZ,福星股份,5.35,10.08,4.29,50.02,8.76,1, 09:40:54, 09:40:54,0.43,0,房地产开,1天1板,0.1,新型城镇化+房地产+金属制品
10,26.0,002766.SZ,索菱股份,5.91,10.06,1.71,49.76,3.47,1, 09:35:03, 09:35:03,0.16,0,互联网服,1天1板,0.09,汽车零部件+无人驾驶+胎压检测
8,26.0,002671.SZ,龙泉股份,5.05,10.02,1.91,23.18,8.28,1, 09:34:18, 09:34:18,0.25,0,水泥建材,1天1板,0.13,混凝土输水管道+新型城镇化+高端金属压力管件
12,26.0,002451.SZ,摩恩电气,7.44,10.06,1.43,32.67,4.45,1, 09:43:18, 09:43:18,0.47,0,电网设备,1天1板,0.33,扁形电磁线+充电桩电缆+电网设备
