,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
1,18.0,603106.SH,恒银科技,7.81,10.0,8.86,40.65,22.09,3, 09:30:37, 11:07:49,0.18,6,计算机设,3天3板,0.02,金融科技+信创+数字经济+人工智能
2,16.0,603336.SH,宏辉果蔬,6.36,10.03,6.6,36.28,18.68,2, 09:30:40, 13:22:49,0.22,3,农牧饲渔,2天2板,0.03,果蔬产品+农业种植+预制菜+冷链物流
4,26.0,002787.SZ,华源控股,9.47,9.99,1.4,21.94,6.5,2, 09:32:03, 09:33:06,0.41,1,包装材料,2天2板,0.3,股份出让+包装印刷+化工罐
14,25.0,002905.SZ,金逸影视,12.54,10.0,4.2,43.82,9.88,2, 10:10:36, 10:10:36,0.38,0,文化传媒,2天2板,0.09,影视传媒+虚拟现实+职业教育
0,25.0,600791.SH,京能置业,5.85,9.96,1.82,26.46,6.9,1, 09:30:32, 09:48:08,0.25,1,房地产开,1天1板,0.14,房地产+北京国资
24,18.0,001223.SZ,欧克科技,83.16,10.0,1.36,13.87,10.07,1, 13:36:57, 13:36:57,0.75,0,专用设备,1天1板,0.55,锂电隔膜+生活用纸智能装备+次新股
20,16.0,301370.SZ,国科恒泰,20.53,19.99,7.23,13.6,56.1,1, 10:57:54, 13:01:06,0.47,2,贸易行业,1天1板,0.06,医药器械+医药商业+次新股
21,21.0,603716.SH,塞力医疗,10.92,9.97,1.6,21.98,7.6,1, 10:59:43, 11:02:43,0.31,1,医药商业,1天1板,0.19,医药商业+降压疫苗+DRG/DIP+智慧医疗
22,16.0,600160.SH,巨化股份,16.35,10.03,7.54,441.41,1.77,1, 13:27:50, 13:33:14,0.58,2,化学制品,1天1板,0.08,氟化工+PVDF+碳交易+杭州亚运会
23,18.0,603379.SH,三美股份,29.38,10.0,2.8,179.36,1.63,1, 13:27:56, 13:27:56,0.42,0,化学制品,1天1板,0.15,氟化工+PVDF+锂电池+集成电路
25,14.0,605020.SH,永和股份,32.51,10.02,3.03,56.6,5.5,1, 13:43:07, 14:08:13,0.18,2,化学制品,1天1板,0.06,氟化工+PVDF+萤石
18,24.0,002349.SZ,精华制药,10.07,10.05,6.31,81.7,8.01,1, 10:50:27, 10:50:27,1.23,0,中药,1天1板,0.19,中医药+医药电商+新冠治疗
26,16.0,600851.SH,海欣股份,7.58,10.01,4.01,55.96,7.66,1, 13:46:03, 13:48:33,0.2,2,化学制药,3天2板,0.05,抗癌+细胞免疫治疗+创新药+参股券商
27,17.0,603536.SH,惠发食品,9.39,9.95,3.73,22.97,17.3,1, 13:56:41, 13:57:50,0.11,1,食品饮料,6天4板,0.03,预制菜+新零售+食品加工
28,16.0,002907.SZ,华森制药,16.25,10.02,2.42,49.11,5.15,1, 14:21:48, 14:21:48,0.63,0,中药,1天1板,0.26,创新药+医药电商+中医药
29,16.0,301281.SZ,科源制药,33.0,20.0,4.36,8.48,55.43,1, 14:35:09, 14:35:09,0.4,0,化学制药,1天1板,0.09,欧莱雅供应商+生物医药+次新股
30,15.0,600860.SH,京城股份,13.4,10.02,3.2,57.38,5.87,1, 14:37:38, 14:39:26,0.7,1,通用设备,1天1板,0.22,氢能源+天然气+气体储运装备
19,24.0,002693.SZ,双成药业,7.23,10.05,3.53,29.69,12.42,1, 10:53:09, 10:53:09,0.79,0,生物制品,4天2板,0.22,医药生物+抗癌+CRO+通过FDA
16,24.0,600191.SH,华资实业,7.15,10.0,1.22,34.67,3.71,1, 10:43:24, 10:43:24,0.45,0,食品饮料,1天1板,0.36,食糖+参股券商+参股银行+摘帽
17,24.0,002750.SZ,龙津药业,10.11,10.01,1.4,40.26,3.58,1, 10:49:48, 10:49:48,0.5,0,中药,1天1板,0.36,中医药+创新药+仿制药
15,23.0,002542.SZ,中化岩土,3.08,10.0,3.35,48.99,6.93,1, 10:25:30, 10:30:21,2.02,1,工程建设,1天1板,0.6,工程服务+传媒+互联网金融+数据中心
13,24.0,600613.SH,神奇制药,8.46,10.01,4.34,40.55,11.15,1, 10:09:56, 10:09:56,0.57,0,化学制药,4天2板,0.13,抗肿瘤+医药生物+超级真菌
12,24.0,301262.SZ,海看股份,36.05,20.01,6.18,14.12,46.29,1, 10:08:09, 10:08:09,0.83,0,文化传媒,1天1板,0.13,IPTV+在线教育+人工智能+次新股
11,24.0,603778.SH,乾景园林,5.06,10.0,2.92,32.53,9.19,1, 10:01:38, 10:01:38,0.35,0,工程建设,1天1板,0.12,园林工程+终止定增
