,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
0,32.0,000656.SZ,金科股份,2.04,10.27,1.47,108.34,1.36,4, 09:25:00, 09:25:00,5.53,0,房地产开,4天4板,3.76,房地产+物业管理+三胎+预重整
9,28.0,300844.SZ,山水比德,51.85,20.0,2.3,8.69,27.12,3, 09:32:24, 09:32:24,0.54,0,工程咨询,3天3板,0.23,园林景观+文旅IP+AIGC
2,28.0,603828.SH,柯利达,4.15,10.08,1.53,24.73,6.18,3, 09:25:00, 09:25:00,0.25,0,装修装饰,3天3板,0.17,建筑装饰+PPP
5,33.0,603682.SH,锦和商管,7.55,10.06,0.41,35.67,1.14,3, 09:25:02, 09:25:02,2.34,0,房地产服,3天3板,5.76,产业园区服务+城市更新+新型城镇化
14,24.0,600638.SH,新黄浦,6.84,9.97,3.12,46.06,6.93,2, 09:39:10, 09:54:13,0.25,3,房地产开,2天2板,0.08,房地产+期货+国企改革
33,10.0,605188.SH,国光连锁,12.25,9.96,5.07,7.4,77.05,2, 13:41:47, 14:02:29,0.1,7,商业百货,5天4板,0.02,百货商超+智能物流+预制菜+电子商务
10,22.0,600565.SH,迪马股份,2.04,10.27,3.42,50.83,6.83,2, 09:33:19, 09:47:16,0.29,5,房地产开,2天2板,0.08,房地产+物业管理+军工
8,25.0,002146.SZ,荣盛发展,2.79,9.84,13.05,108.82,12.1,2, 09:31:54, 09:39:06,0.97,2,房地产服,8天6板,0.07,房地产+新能源汽车+半年报预增
7,27.0,000961.SZ,中南建设,2.18,10.1,4.3,83.08,5.25,2, 09:31:30, 09:31:30,1.11,0,房地产开,4天3板,0.26,房地产+数据交易中心+区块链+机器人
26,25.0,600322.SH,天房发展,2.57,9.83,5.65,28.42,20.78,2, 10:32:10, 10:32:10,0.02,0,房地产开,4天3板,0.0,房地产+天津国资
4,27.0,600743.SH,华远地产,2.07,10.11,1.65,48.56,3.39,2, 09:25:02, 09:25:02,0.55,0,房地产开,2天2板,0.33,房地产+北京国资
3,16.0,601099.SH,太平洋,3.22,9.9,35.4,219.49,16.21,2, 09:25:01, 13:46:04,1.78,3,证券,2天2板,0.05,证券+互联网金融
31,19.0,600753.SH,庚星股份,11.13,9.98,2.25,23.93,9.87,2, 13:35:02, 13:35:02,0.22,0,贸易行业,2天2板,0.1,参股武汉敏声+煤炭物流+换电+MEMS技术
30,18.0,601086.SH,国芳集团,5.76,9.92,2.4,38.36,6.65,1, 13:23:18, 13:23:18,0.59,0,商业百货,1天1板,0.25,百货零售+新零售+半年报增长
27,14.0,000004.SZ,国华网安,19.39,9.98,6.83,23.06,30.69,1, 10:51:09, 14:43:09,0.26,2,软件开发,1天1板,0.04,网络安全+鸿蒙+电力物联网+摘帽
28,22.0,600470.SH,六国化工,6.2,9.93,2.59,32.34,8.21,1, 11:02:55, 11:02:55,0.55,0,化肥行业,1天1板,0.21,化肥+磷化工+煤化工
29,22.0,002305.SZ,南国置业,2.7,10.2,4.25,46.82,9.55,1, 11:25:57, 11:25:57,0.19,0,房地产开,1天1板,0.05,房地产+REITs+国企改革
35,15.0,301505.SZ,苏州规划,58.93,20.0,7.46,11.62,72.1,1, 14:06:30, 14:10:06,0.36,1,工程咨询,1天1板,0.05,城中村改造+城市规划+空间计算+次新股
32,18.0,002336.SZ,人人乐,17.19,9.98,6.14,64.15,10.26,1, 13:41:09, 13:41:09,1.05,0,商业百货,6天4板,0.17,商超百货+预制菜+跨境电商+国企改革
34,18.0,000890.SZ,法尔胜,4.57,10.12,1.28,19.17,6.94,1, 13:46:30, 13:46:30,0.84,0,通用设备,1天1板,0.66,光通信+环保设备+钢丝绳+半年报预增
