,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
6,28.0,603716.SH,塞力医疗,14.53,9.99,3.8,29.25,13.24,4, 09:31:51, 09:33:21,1.14,1,医药商业,4天4板,0.3,SPD+降压疫苗+DRG/DIP+智慧医疗
15,11.0,301281.SZ,科源制药,57.02,19.99,7.65,14.65,54.71,4, 10:04:39, 13:37:00,0.19,10,化学制药,4天4板,0.03,二甲双胍/降糖+欧莱雅供应商+生物医药+次新股
2,26.0,603778.SH,乾景园林,6.01,10.07,2.79,38.64,7.21,2, 09:25:02, 09:30:35,0.9,1,工程建设,4天3板,0.32,股东变更+园林工程+终止定增光伏项目
3,18.0,001299.SZ,美能能源,19.18,9.98,4.83,9.0,54.08,2, 09:31:03, 10:24:00,0.25,7,燃气,2天2板,0.05,天然气+次新股
0,19.0,000006.SZ,深振业Ａ,5.83,10.0,11.09,78.7,14.22,1, 09:25:00, 11:15:39,0.76,3,房地产开,1天1板,0.07,
12,26.0,002787.SZ,华源控股,9.37,9.98,2.21,21.71,10.37,1, 09:39:21, 09:39:21,0.66,0,包装材料,5天3板,0.3,股份出让+包装印刷+化工罐
19,18.0,002786.SZ,银宝山新,6.9,10.05,4.35,34.09,13.25,1, 13:09:57, 13:09:57,0.56,0,专用设备,1天1板,0.13,精密注塑模具+小米+机器人+AMC
18,17.0,600622.SH,光大嘉宝,3.54,9.94,3.8,53.09,7.38,1, 11:24:23, 13:14:23,0.37,1,房地产开,1天1板,0.1,房地产+AMC+REITs+小金属
17,21.0,002527.SZ,新时达,12.08,10.02,10.52,63.47,16.92,1, 10:30:42, 11:23:42,0.28,1,专用设备,1天1板,0.03,行星减速器+机器人+智能制造
16,21.0,301277.SZ,新天地,26.98,20.02,7.49,13.5,58.69,1, 10:09:54, 10:37:21,0.51,3,化学制药,1天1板,0.07,CRO+流感+左旋对羟基苯甘氨酸+次新股
14,25.0,002173.SZ,创新医疗,9.35,10.0,6.61,39.59,17.26,1, 09:49:57, 09:52:21,0.78,1,医疗服务,1天1板,0.12,脑机接口+民营医院+医美
13,10.0,688117.SH,圣诺生物,35.04,20.0,7.55,23.2,33.68,1, 09:48:45, 14:46:15,0.04,6,化学制药,1天1板,0.01,减肥药+多肽类创新药+CRO
10,26.0,301234.SZ,五洲医疗,39.7,20.01,2.59,7.32,37.08,1, 09:36:30, 09:36:30,1.03,0,医疗器械,1天1板,0.4,无菌输注类医疗器械+外销
11,23.0,600272.SH,开开实业,11.79,9.98,4.24,18.86,23.26,1, 09:37:41, 10:02:20,0.5,1,医药商业,3天2板,0.12,SPD+中医药+老字号+上海国资
1,6.0,600322.SH,天房发展,2.86,10.0,7.85,31.62,25.08,1, 09:25:02, 14:48:23,0.07,11,房地产开,3天2板,0.01,更名+房地产+天津国资
9,26.0,000705.SZ,浙江震元,9.24,10.0,2.81,26.05,10.98,1, 09:36:24, 09:36:24,0.38,0,医药商业,1天1板,0.14,SPD+医药商业+互联网医疗
8,26.0,002584.SZ,西陇科学,5.97,9.94,1.59,24.26,6.65,1, 09:34:21, 09:34:21,0.47,0,电子化学,1天1板,0.29,3-羟基邻苯二甲酸酐+化学试剂+体外诊断+辅助生殖
7,26.0,002451.SZ,摩恩电气,7.36,10.01,2.05,32.32,6.39,1, 09:32:27, 09:32:27,0.64,0,电网设备,1天1板,0.31,扁形电磁线+充电桩电缆+电网设备+AMC
5,27.0,000573.SZ,粤宏远Ａ,4.26,10.08,2.56,26.96,9.6,1, 09:31:27, 09:31:27,2.68,0,房地产开,1天1板,1.04,
4,20.0,301429.SZ,森泰股份,32.27,20.01,5.9,9.05,66.88,1, 09:31:03, 11:24:48,0.35,2,装修建材,1天1板,0.06,木塑复合材料+外销+对外投资+次新股
20,16.0,301075.SZ,多瑞医药,32.4,20.0,3.99,8.89,48.75,1, 14:15:48, 14:15:48,0.69,0,化学制药,1天1板,0.17,抗抑郁药+原料药+医药中间体+流感
