,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
20,20.0,603106.SH,恒银科技,9.45,10.01,12.4,49.19,27.6,5, 14:14:41, 14:14:41,0.6,0,计算机设,5天5板,0.05,金融科技+信创+数字经济+人工智能
0,27.0,603716.SH,塞力医疗,13.21,9.99,2.72,26.59,10.24,3, 09:25:00, 09:30:48,0.62,1,医药商业,3天3板,0.23,SPD+降压疫苗+DRG/DIP+智慧医疗
6,13.0,301281.SZ,科源制药,47.52,20.0,7.39,12.21,62.14,3, 09:32:48, 14:54:12,0.34,5,化学制药,3天3板,0.05,二甲双胍/降糖+欧莱雅供应商+生物医药+次新股
16,15.0,002177.SZ,御银股份,5.6,10.02,14.19,42.63,34.65,2, 10:18:27, 13:54:42,0.72,4,计算机设,2天2板,0.05,互联网金融+ATM+数字货币+摘帽
13,17.0,002995.SZ,天地在线,28.31,9.98,7.51,31.83,24.1,1, 09:56:15, 13:16:15,0.47,1,文化传媒,1天1板,0.06,虚拟数字人+虚拟IP+广告营销+数字藏品
22,16.0,601099.SH,太平洋,4.93,10.04,92.14,336.04,29.22,1, 14:25:45, 14:25:45,4.58,0,证券,1天1板,0.05,证券+互联网金融
21,16.0,301315.SZ,威士顿,85.37,20.0,10.51,17.81,64.07,1, 14:19:48, 14:19:48,1.12,0,软件开发,1天1板,0.11,互联网金融+工业软件+烟草+次新股
19,18.0,300483.SZ,首华燃气,14.78,19.97,4.33,38.65,11.9,1, 13:23:06, 13:23:06,0.45,0,燃气,1天1板,0.1,天然气+园艺用品
18,24.0,002719.SZ,麦趣尔,13.54,9.99,4.16,21.92,20.0,1, 10:50:39, 10:50:39,0.88,0,食品饮料,1天1板,0.21,乳业+新零售+新疆振兴+股份拍卖撤回
17,9.0,600681.SH,百川能源,4.77,9.91,2.61,63.91,4.16,1, 10:26:48, 13:54:30,0.06,9,燃气,1天1板,0.02,京津冀天然气龙头+LNG加气站
15,24.0,601975.SH,招商南油,3.49,10.09,9.94,169.36,6.03,1, 10:15:01, 10:15:01,0.96,0,航运港口,1天1板,0.1,航运+原油运输+国企改革
14,23.0,600903.SH,贵州燃气,9.31,10.05,3.64,107.03,3.47,1, 10:12:32, 10:16:03,0.57,1,燃气,1天1板,0.16,贵州天然气龙头+氢能源+董事长辞职
12,22.0,603318.SH,水发燃气,8.69,10.0,3.65,33.79,10.97,1, 09:53:40, 10:08:01,0.45,2,燃气,1天1板,0.12,天然气+氢能源+储能
1,27.0,000903.SZ,云内动力,2.82,10.16,0.77,54.15,1.42,1, 09:25:00, 09:25:00,0.85,0,汽车零部,1天1板,1.11,签署采购合同+发动机+充电桩+燃料电池
11,25.0,000701.SZ,厦门信达,6.93,10.0,2.9,28.49,10.31,1, 09:41:48, 09:58:42,2.5,1,商业百货,1天1板,0.86,AIGC+收购保利汽车+二手车出口+铁矿石
10,11.0,601236.SH,红塔证券,9.97,10.04,27.99,470.26,6.04,1, 09:39:22, 13:05:07,1.37,7,证券,1天1板,0.05,证券+国企改革
9,26.0,001331.SZ,胜通能源,18.78,10.02,0.88,7.89,11.33,1, 09:35:12, 09:35:12,0.37,0,物流行业,1天1板,0.42,天然气+次新股
8,15.0,301395.SZ,仁信新材,27.96,20.0,6.04,9.61,64.36,1, 09:34:12, 13:25:36,0.17,3,化学原料,1天1板,0.03,聚苯乙烯高分子新材料+次新股
7,25.0,002652.SZ,扬子新材,3.12,9.86,0.99,15.96,6.28,1, 09:32:48, 09:36:18,0.34,1,装修建材,1天1板,0.34,有机涂层板+建筑材料
5,22.0,600191.SH,华资实业,7.45,10.04,2.98,36.13,8.53,1, 09:30:43, 10:38:49,0.44,2,食品饮料,3天2板,0.15,食糖+参股券商+参股银行+摘帽
4,26.0,001299.SZ,美能能源,17.44,10.03,1.02,8.18,12.44,1, 09:30:00, 09:30:00,0.81,0,燃气,1天1板,0.8,天然气+次新股
3,26.0,301448.SZ,开创电气,36.55,19.99,1.98,7.31,27.15,1, 09:25:03, 09:25:03,0.71,0,通用设备,1天1板,0.36,手持式电动工具整机+跨境电商+外销+次新股
2,28.0,603778.SH,乾景园林,5.46,10.08,0.56,35.1,1.59,1, 09:25:01, 09:25:01,1.63,0,工程建设,3天2板,2.92,股东变更+园林工程+终止定增光伏项目
23,12.0,601136.SH,首创证券,24.97,10.0,36.32,68.25,57.35,1, 14:34:08, 14:52:35,0.6,4,证券,10天5板,0.02,证券+互联网金融+次新股
